,entry,country,area,date,number,position,year,month,day
112,112,桃園市,龍潭區,1993/1/16,0.0,桃園市龍潭區,1993,1,16
113,113,桃園市,龍潭區,1993/2/15,0.0,桃園市龍潭區,1993,2,15
114,114,桃園市,龍潭區,1993/3/1,0.0,桃園市龍潭區,1993,3,1
115,115,台東縣,鹿野鄉,1993/3/3,0.0,台東縣鹿野鄉,1993,3,3
116,116,台東縣,關山鎮,1993/3/3,0.0,台東縣關山鎮,1993,3,3
117,117,台東縣,池上鄉,1993/3/3,0.0,台東縣池上鄉,1993,3,3
118,118,花蓮縣,玉里鎮,1993/3/4,0.0,花蓮縣玉里鎮,1993,3,4
119,119,花蓮縣,富里鄉,1993/3/4,0.0,花蓮縣富里鄉,1993,3,4
120,120,桃園市,龍潭區,1993/3/16,0.0,桃園市龍潭區,1993,3,16
121,121,南投縣,名間鄉,1993/3/18,0.0,南投縣名間鄉,1993,3,18
122,122,花蓮縣,玉里鎮,1993/3/18,0.0,花蓮縣玉里鎮,1993,3,18
123,123,花蓮縣,富里鄉,1993/3/18,0.0,花蓮縣富里鄉,1993,3,18
124,124,屏東縣,萬丹鄉,1993/3/24,5.0,屏東縣萬丹鄉,1993,3,24
125,125,屏東縣,萬丹鄉,1993/3/29,3.0,屏東縣萬丹鄉,1993,3,29
126,126,嘉義縣,民雄鄉,1993/3/29,0.5,嘉義縣民雄鄉,1993,3,29
127,127,南投縣,名間鄉,1993/3/30,0.0,南投縣名間鄉,1993,3,30
128,128,花蓮縣,玉里鎮,1993/4/1,0.01,花蓮縣玉里鎮,1993,4,1
129,129,花蓮縣,富里鄉,1993/4/1,0.01,花蓮縣富里鄉,1993,4,1
130,130,桃園市,龍潭區,1993/4/1,0.0,桃園市龍潭區,1993,4,1
131,131,台東縣,鹿野鄉,1993/4/5,0.0,台東縣鹿野鄉,1993,4,5
132,132,台東縣,關山鎮,1993/4/5,0.0,台東縣關山鎮,1993,4,5
133,133,台東縣,池上鄉,1993/4/5,0.0,台東縣池上鄉,1993,4,5
134,134,苗栗縣,銅鑼鄉,1993/4/9,0.0,苗栗縣銅鑼鄉,1993,4,9
135,135,屏東縣,萬丹鄉,1993/4/12,2.0,屏東縣萬丹鄉,1993,4,12
136,136,南投縣,名間鄉,1993/4/14,0.0,南投縣名間鄉,1993,4,14
137,137,花蓮縣,玉里鎮,1993/4/15,0.62,花蓮縣玉里鎮,1993,4,15
138,138,花蓮縣,富里鄉,1993/4/15,0.17,花蓮縣富里鄉,1993,4,15
139,139,桃園市,龍潭區,1993/4/16,0.0,桃園市龍潭區,1993,4,16
140,140,苗栗縣,銅鑼鄉,1993/4/23,0.5,苗栗縣銅鑼鄉,1993,4,23
141,141,桃園市,龍潭區,1993/4/23,0.0,桃園市龍潭區,1993,4,23
